,title,type,year,age,runtime,genres,production_countries,imdb_score,imdb_votes
74,Unspeakable Acts,Movie,1990,No Rating,100,drama,US,6.0,448
75,Waiting for the Hearse,Movie,1985,No Rating,87,comedy,AR,8.0,6285
76,Mobile Suit Gundam III: Encounters in Space,Movie,1982,No Rating,144,"animation, action, drama, scifi, war",JP,7.7,1210
77,Agneepath,Movie,1990,No Rating,174,"action, crime, drama",IN,7.6,8902
78,Parrot Sketch Not Included: Twenty Years of Monty Python,Movie,1989,No Rating,72,comedy,GB,8.1,1522
79,Too Young The Hero,Movie,1988,No Rating,100,"drama, war",US,6.7,494
80,Adam: His Song Continues,Movie,1986,No Rating,100,"crime, drama",US,7.0,209
81,Disco Dancer,Movie,1982,No Rating,134,"drama, romance",IN,6.5,1449
82,The Ryan White Story,Movie,1989,No Rating,102,drama,US,7.2,857
83,In Defense of a Married Man,Movie,1990,No Rating,94,"drama, crime",US,5.6,200
84,Dil,Movie,1990,No Rating,172,"romance, comedy, drama",IN,6.6,5273
85,Bye Bye London,Movie,1982,No Rating,170,"comedy, drama",KW,8.7,154
86,Quiet Victory: The Charlie Wedemeyer Story,Movie,1988,No Rating,100,drama,US,7.1,144
87,"Alexandria, Again and Forever",Movie,1989,No Rating,105,drama,"EG, FR",6.5,643
88,Strange Voices,Movie,1987,No Rating,100,drama,US,6.3,357
89,Aakhri Adaalat,Movie,1988,No Rating,148,"action, crime, thriller",IN,5.1,92
90,A Stoning in Fulham County,Movie,1988,No Rating,120,"crime, drama, thriller",US,5.8,380
91,The Married Couples,Movie,1981,No Rating,194,drama,EG,,0
92,Sayed The Servant,Movie,1985,No Rating,166,comedy,EG,,0
93,Muqaddar Ka Faisla,Movie,1987,No Rating,172,"comedy, drama, family, action",IN,4.8,68
94,Sohni Mahiwal,Movie,1984,No Rating,160,"romance, action, drama",IN,6.1,297
95,The Little Wars,Movie,1982,No Rating,108,"drama, war, european","FR, LB",6.3,149
96,Bill Hicks: Sane Man,Movie,1989,R,81,comedy,US,,0
97,Duniya,Movie,1984,No Rating,170,"drama, action",IN,6.2,241
98,High Risk,Show,1988,TV-PG,50,comedy,US,3.8,6
99,Pyar Ke Do Pal,Movie,1986,No Rating,153,"drama, action",IN,6.1,65
100,Jaal,Movie,1986,No Rating,159,"drama, thriller, action",IN,5.2,122
101,Mujrim,Movie,1989,No Rating,162,"drama, action, crime",IN,5.4,188
102,An Egyptian Story,Movie,1982,No Rating,129,"fantasy, drama",EG,7.3,1113
103,Ek Jaan Hain Hum,Movie,1983,No Rating,151,"family, romance",IN,6.3,70
104,The Quick and the Dead,Movie,1995,R,107,"western, thriller, action, romance","US, JP",6.5,92224
105,Survivor,Show,2000,TV-PG,48,reality,US,7.4,24368
106,Stargate SG-1,Show,1997,TV-PG,44,"scifi, drama, action","US, CA",8.4,90196
107,Pokémon,Show,1997,TV-Y7,22,"scifi, action, comedy, fantasy, animation, family",JP,7.6,172
108,Forrest Gump,Movie,1994,PG-13,142,"drama, romance, comedy",US,8.8,1994599
109,Happy Gilmore,Movie,1996,PG-13,92,"comedy, sport",US,7.0,217534
110,One Piece,Show,1999,TV-14,23,"action, comedy, animation, drama, fantasy",JP,8.8,112586
111,Saving Private Ryan,Movie,1998,R,169,"drama, war",US,8.6,1346020
112,Cowboy Bebop,Show,1998,TV-14,25,"western, action, scifi, thriller, animation, comedy, drama",JP,8.9,112887
113,Star Trek: Deep Space Nine,Show,1993,TV-PG,47,"scifi, action, drama",US,8.1,61145
114,The Challenge,Show,1998,TV-14,40,"reality, comedy, drama, scifi",US,7.8,3274
115,Gattaca,Movie,1997,PG-13,106,"thriller, drama, scifi",US,7.8,298168
116,Gilmore Girls,Show,2000,TV-14,46,"comedy, drama",US,8.2,119054
117,Blade,Movie,1998,R,120,"action, scifi, horror",US,7.1,267181
118,You've Got Mail,Movie,1998,PG,119,"romance, drama, comedy",US,6.7,209258
119,Starship Troopers,Movie,1997,R,129,"scifi, thriller, action",US,7.3,288960
120,Neon Genesis Evangelion,Show,1995,TV-14,24,"scifi, action, drama, thriller, fantasy, animation",JP,8.5,64727
121,The Magic School Bus,Show,1994,TV-Y,26,"scifi, comedy, family, fantasy, animation","US, CA",7.8,9708
122,Donnie Brasco,Movie,1997,R,127,"thriller, drama, crime",US,7.7,300073
123,Power Rangers,Show,1993,TV-Y7,22,"scifi, action, fantasy, family",US,6.5,21949
124,U.S. Marshals,Movie,1998,PG-13,126,"thriller, crime, action",US,6.5,103263
125,Adventures of Sonic the Hedgehog,Show,1993,TV-Y7,22,"action, animation, scifi, western, fantasy, comedy, family",US,6.2,3808
126,Wild Things,Movie,1998,R,108,"drama, thriller, crime, european",US,6.6,118811
127,Last Action Hero,Movie,1993,PG-13,130,"comedy, action, fantasy",US,6.4,149290
128,Seven Years in Tibet,Movie,1997,PG-13,136,"drama, history, war",US,7.1,141308
129,The Devil's Advocate,Movie,1997,No Rating,144,"horror, thriller, drama","DE, US",7.5,361422
130,A River Runs Through It,Movie,1992,PG,123,drama,US,7.2,59086
131,"Girl, Interrupted",Movie,1999,R,127,"drama, european","US, DE",7.3,180532
132,Goosebumps,Show,1995,TV-PG,22,"scifi, fantasy, horror, thriller, family, music","CA, US",7.6,13361
133,Yu-Gi-Oh!,Show,1998,TV-Y,22,"scifi, action, family, fantasy, animation, comedy, drama",JP,7.2,20888
134,InuYasha,Show,2000,TV-14,25,"action, comedy, scifi, animation, drama, fantasy, romance",JP,7.9,15823
135,Any Given Sunday,Movie,1999,R,162,"drama, sport",US,6.9,118479
136,Menace II Society,Movie,1993,R,97,"drama, crime, thriller",US,7.5,57399
137,Desperado,Movie,1995,R,104,"thriller, action, crime, western, european",US,7.1,183638
138,The Mask of Zorro,Movie,1998,PG-13,136,"action, thriller, western, comedy, romance",US,6.8,181306
139,The Patriot,Movie,2000,R,165,"drama, action, history, war","DE, US",7.2,270231
140,Road Trip,Movie,2000,R,93,comedy,US,6.5,167670
141,Free Willy,Movie,1993,PG,112,"drama, family","US, FR",6.0,75244
142,My First Errand,Show,1991,TV-G,19,reality,JP,,0
143,3 Ninjas Kick Back,Movie,1994,PG,93,"action, comedy, family, sport","US, JP",4.5,9208
144,In the Line of Fire,Movie,1993,R,128,"drama, thriller, action, crime",US,7.2,101939
145,The Replacements,Movie,2000,PG-13,118,"comedy, sport",US,6.6,64087
146,Johnny Mnemonic,Movie,1995,R,97,"scifi, thriller, action, drama","US, CA",5.6,71062
147,Little Women,Movie,1994,PG,115,"drama, family, romance",US,7.3,57621
148,Anaconda,Movie,1997,PG-13,89,"thriller, horror, action","PE, US, BR",4.8,103459
149,My Girl,Movie,1991,PG,103,"comedy, drama, family, romance, european",US,6.9,79800
150,Cliffhanger,Movie,1993,R,112,"thriller, action, animation","IT, US, FR",6.5,128179
151,I Know What You Did Last Summer,Movie,1997,R,101,"horror, thriller",US,5.7,142696
152,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Movie,1991,PG,88,"scifi, action, comedy, family","US, HK",6.0,55499
153,Barney & Friends,Show,1992,TV-G,28,family,US,3.8,9955
154,Hollow Man,Movie,2000,R,112,"scifi, action, horror, thriller","DE, US",5.8,130099
155,Godzilla,Movie,1998,PG-13,133,"thriller, scifi, action",US,5.4,191722
156,Neon Genesis Evangelion: The End of Evangelion,Movie,1997,No Rating,87,"scifi, action, drama, fantasy, animation",JP,8.0,51938
157,Spawn,Movie,1997,PG-13,96,"fantasy, horror, scifi, thriller, action, drama",US,5.2,67761
158,Dennis the Menace,Movie,1993,PG,95,"comedy, family",US,5.6,60779
159,The Net,Movie,1995,PG-13,114,"thriller, action, crime, drama",US,5.9,66127
160,The Devil's Own,Movie,1997,R,107,"thriller, drama, action, crime, european",US,6.2,64625
161,Croupier,Movie,1998,R,94,"thriller, european, crime, drama","FR, IE, GB, DE",7.0,21382
162,Teenage Mutant Ninja Turtles III,Movie,1993,PG,96,"fantasy, scifi, action, comedy, family","HK, US",4.7,33128
163,The General's Daughter,Movie,1999,R,116,"drama, crime, thriller","US, DE",6.4,58726
164,The Next Karate Kid,Movie,1994,PG,107,"drama, family, romance, sport, action",US,4.5,30138
165,I Still Know What You Did Last Summer,Movie,1998,R,100,"thriller, horror",US,4.7,73269
166,Double Team,Movie,1997,R,93,"scifi, action, comedy, thriller","US, HK",4.7,34127
167,Under Suspicion,Movie,2000,R,110,"thriller, crime, drama, european",US,6.5,25432
168,Moesha,Show,1996,TV-PG,21,"drama, comedy, family",US,5.7,3713
169,"Sister, Sister",Show,1994,TV-PG,22,"comedy, drama, family",US,6.2,12535
170,Cardcaptor Sakura,Show,1998,TV-Y7,25,"scifi, comedy, drama, family, fantasy, romance, animation, action",JP,8.0,4936
171,Geronimo: An American Legend,Movie,1993,PG-13,115,"western, drama, history",US,6.5,11506
172,The Mirror Has Two Faces,Movie,1996,PG-13,126,"romance, comedy, drama",US,6.6,19829
173,Girlfriends,Show,2000,TV-PG,21,"comedy, drama",US,7.2,4482
174,Bill Hicks: One Night Stand,Movie,1991,NC-17,30,comedy,US,,0
175,Knight Rider 2000,Movie,1991,G,91,"action, scifi",US,4.5,3178
176,The Last Days,Movie,1998,PG-13,87,"drama, documentation, war",US,7.9,4247
177,The Parkers,Show,1999,TV-PG,19,comedy,US,6.8,2346
178,Heavy,Movie,1995,R,105,"romance, drama",US,6.8,4921
179,Bill Hicks: Revelations,Movie,1993,No Rating,74,"comedy, documentation",GB,8.5,3085
180,Sankofa,Movie,1993,No Rating,124,"drama, european","GH, GB, US, BF, DE",7.0,678
181,Bill Hicks: Relentless,Movie,1992,No Rating,61,comedy,GB,,0
182,Dale's Supermarket Sweep,Show,1993,TV-G,21,,GB,7.1,39
183,Jerry Seinfeld: I'm Telling You for the Last Time,Movie,1998,G,75,"comedy, documentation",US,7.9,5834
184,Children of God,Movie,1994,No Rating,63,documentation,GB,6.4,589
185,Wild Tango,Movie,1993,R,124,"drama, music, romance","AR, ES",6.7,1564
186,Kuch Kuch Hota Hai,Movie,1998,G,185,"drama, romance, comedy",IN,7.6,51640
187,Oggy and the Cockroaches,Show,1999,TV-Y7,9,"comedy, family, action, animation, european",FR,7.4,4185
188,H,Show,1998,TV-MA,25,comedy,FR,7.4,1703
189,Herod's Law,Movie,1999,R,120,"drama, comedy, crime",MX,7.8,5943
190,Tim Allen: Rewires America,Movie,1991,PG,30,"comedy, documentation",US,5.9,195
191,Heartbreak High,Show,1994,TV-MA,47,"drama, romance, comedy",AU,7.8,3106
192,Dil Se..,Movie,1998,PG-13,163,"drama, romance",IN,7.5,28409
193,Escalona,Show,1991,TV-MA,44,drama,CO,,0
194,Aashik Aawara,Movie,1993,No Rating,153,"romance, comedy, drama",IN,4.7,320
195,Destiny,Movie,1997,No Rating,136,"drama, romance, comedy, history","EG, FR",7.1,2825
196,Oh Darling! Yeh Hai India!,Movie,1995,G,153,comedy,IN,4.0,1678
197,A Triumph of the Heart: The Ricky Bell Story,Movie,1991,No Rating,100,"drama, sport",US,7.2,248
198,Bombay,Movie,1995,No Rating,141,"romance, drama",IN,8.1,12512
199,West Beirut,Movie,1998,PG-13,105,"romance, war, comedy, drama, european","BE, FR, NO, LB",7.6,4175
200,Muthu,Movie,1995,G,165,"drama, comedy, romance, action",IN,7.6,3056
201,Qila,Movie,1998,No Rating,160,"drama, music, family",IN,4.8,129
202,Ram Jaane,Movie,1995,No Rating,172,"action, drama, romance, crime",IN,5.4,3901
203,Chamatkar,Movie,1992,G,171,"comedy, fantasy, drama, crime",IN,6.5,6199
204,Soldier,Movie,1998,No Rating,156,"thriller, action, drama, romance",IN,6.2,3025
205,Okupas,Show,2000,TV-MA,40,"crime, drama",AR,9.0,2326
206,Hum Saath Saath Hain,Movie,1999,G,177,"fantasy, romance, family, drama",IN,6.2,8454
207,Kabhi Haan Kabhi Naa,Movie,1994,G,158,"comedy, drama, music, romance",IN,7.6,18224
208,Nightmare in Columbia County,Movie,1991,No Rating,100,"drama, crime, thriller",US,5.5,341
209,Phir Bhi Dil Hai Hindustani,Movie,2000,PG-13,160,"comedy, romance, drama",IN,6.1,7556
210,Sam Kinison: Family Entertainment Hour,Movie,1991,No Rating,49,comedy,US,,0
211,Jeans,Movie,1998,No Rating,175,"drama, romance, comedy",IN,6.4,3567
212,Chaahat,Movie,1996,G,155,"drama, romance",IN,5.5,2837
213,Hum Aapke Hain Koun..!,Movie,1994,No Rating,206,"romance, comedy, drama",IN,7.5,20986
