,title,type,year,age,runtime,genres,production_countries,imdb_score,imdb_votes
1597,Taxi Driver,Movie,2015,No Rating,100,"crime, drama, comedy",NG,6.0,68
1598,XOXO,Movie,2016,No Rating,92,"music, drama",US,5.3,6981
1599,The White Helmets,Movie,2016,No Rating,40,"war, documentation","SY, GB",,0
1600,Rainbow Ruby,Show,2016,TV-Y,11,"animation, comedy, family, fantasy",CN,6.5,77
1601,Ali Wong: Baby Cobra,Movie,2016,No Rating,60,comedy,US,7.5,6925
1602,Fearless,Show,2016,No Rating,43,"documentation, reality",US,7.1,299
1603,The Lion Woman,Movie,2016,PG-13,126,"drama, european","NO, SE",6.6,1408
1604,Prem Ratan Dhan Payo,Movie,2015,No Rating,164,"action, drama, family, romance",IN,4.4,21487
1605,The Beginning of Life,Movie,2016,G,98,"documentation, family",BR,7.6,934
1606,Pyaar Ka Punchnama 2,Movie,2015,PG-13,159,"comedy, drama, romance",IN,7.3,14968
1607,Atelier,Show,2015,TV-14,69,"drama, documentation, comedy",JP,6.3,7
1608,The Truth Seekers,Show,2016,TV-MA,44,"drama, action",SG,7.1,16
1609,Chris Tucker: Live,Movie,2015,No Rating,92,"comedy, documentation",US,6.3,1936
1610,Schubert in Love,Movie,2016,No Rating,95,"comedy, european",DE,5.0,356
1611,Chelsea,Show,2016,TV-MA,57,comedy,US,6.1,2051
1612,Home: Adventures with Tip & Oh,Show,2016,TV-Y7,21,"comedy, family, fantasy, scifi, animation",US,5.9,603
1613,Dinosaur World,Movie,2015,No Rating,65,"animation, comedy, drama",IN,,0
1614,Raman Raghav 2.0,Movie,2016,No Rating,134,"thriller, crime, drama",IN,7.4,14380
1615,White Rabbit Project,Show,2016,TV-PG,48,reality,US,6.9,1665
1616,Witch Hunt: A Century of Murder,Show,2015,TV-14,46,"crime, history, fantasy, drama, european",GB,7.2,319
1617,The Princess Weiyoung,Show,2016,TV-14,45,"drama, history, romance",CN,7.9,767
1618,Mind Game,Show,2015,TV-14,44,"drama, action, crime","JP, US",7.5,12
1619,Chelsea Does,Show,2016,TV-MA,60,documentation,US,7.3,2471
1620,Real Rob,Show,2015,TV-14,31,comedy,US,6.4,2801
1621,Slam,Movie,2016,No Rating,100,"comedy, romance, drama, european",IT,6.1,1308
1622,Gridlocked,Movie,2016,R,114,action,CA,5.8,4570
1623,Jessica Darling's It List,Movie,2016,No Rating,79,family,US,5.5,973
1624,StoryBots Super Songs,Show,2016,TV-Y,21,"animation, family",US,8.8,167
1625,Chocolate City: Vegas Strip,Movie,2016,PG-13,89,drama,US,3.7,297
1626,Journey to Greenland,Movie,2016,No Rating,98,"drama, comedy, european","GL, FR",6.3,1336
1627,Fifty,Movie,2015,No Rating,101,"romance, drama, sport, thriller",NG,6.1,259
1628,All About Asado,Movie,2016,No Rating,90,documentation,AR,6.5,566
1629,Phantom,Movie,2015,No Rating,136,"thriller, action, drama, horror, crime, european",IN,5.9,9145
1630,The Ivory Game,Movie,2016,No Rating,112,"documentation, european","US, AT",7.9,3243
1631,HiGH&LOW: The Red Rain,Movie,2016,No Rating,110,"action, drama",JP,6.2,277
1632,Lens,Movie,2016,No Rating,109,"thriller, drama",IN,6.6,1212
1633,Selfie 69,Movie,2016,No Rating,116,"romance, comedy, action, european",RO,6.1,1700
1634,Ali Baba and the 7 Dwarfs,Movie,2015,PG-13,114,"comedy, action, drama",TR,5.8,19834
1635,Ghost Patrol,Movie,2016,No Rating,50,animation,CA,5.1,221
1636,Talvar,Movie,2015,PG,132,"thriller, crime, drama",IN,8.1,34659
1637,"Liar, Liar, Vampire",Movie,2015,G,66,"comedy, family",US,5.8,940
1638,I'll Sleep When I'm Dead,Movie,2016,No Rating,82,documentation,US,6.6,1358
1639,Dil Dhadakne Do,Movie,2015,PG-13,170,"drama, comedy, romance",IN,7.0,17149
1640,Wazir,Movie,2016,PG-13,103,"thriller, crime, action, drama",IN,7.2,18681
1641,Cosmos Laundromat,Movie,2015,No Rating,12,fantasy,NL,,0
1642,The Worthy,Movie,2016,No Rating,95,"scifi, thriller, family, fantasy, action, european",AE,5.1,1981
1643,Kyaa Kool Hain Hum 3,Movie,2016,No Rating,124,comedy,IN,1.9,4341
1644,Chronically Metropolitan,Movie,2016,No Rating,86,"drama, comedy",US,5.0,1503
1645,1898: Our Last Men in the Philippines,Movie,2016,PG-13,130,"drama, history, war, european",ES,6.5,3281
1646,Sofía Niño de Rivera: Exposed,Movie,2016,No Rating,80,comedy,MX,7.3,299
1647,Russell Peters: Almost Famous,Movie,2016,No Rating,73,comedy,US,6.5,1882
1648,Miss in Kiss,Show,2016,TV-14,36,"comedy, drama",TW,7.7,98
1649,Ludo,Movie,2015,No Rating,90,"horror, thriller, fantasy",IN,2.8,825
1650,Everything About Her,Movie,2016,No Rating,126,"comedy, drama",PH,7.1,328
1651,#FollowFriday,Movie,2016,No Rating,90,thriller,US,2.7,382
1652,Eddie: Strongman,Movie,2015,No Rating,98,documentation,GB,7.4,1158
1653,Gabbar Is Back,Movie,2015,PG-13,130,"drama, action, crime, comedy",IN,7.2,24676
1654,The Massively Mixed-Up Middle School Mystery,Movie,2015,No Rating,39,comedy,XX,7.3,78
1655,Jonah,Movie,2016,PG,97,"thriller, drama, romance, family",BR,5.4,230
1656,Coach Snoop,Show,2016,TV-MA,29,documentation,US,6.8,583
1657,Motu Patlu: King Of Kings,Movie,2016,G,109,"animation, comedy",IN,6.8,157
1658,Sen Benim HerŞeyimsin,Movie,2016,No Rating,107,comedy,TR,6.2,2667
1659,Barakah Meets Barakah,Movie,2016,No Rating,88,"romance, comedy",SA,6.3,1681
1660,Word Party,Show,2016,TV-Y,20,"animation, family",US,5.7,349
1661,Fitoor,Movie,2016,No Rating,131,"drama, romance",IN,5.4,4787
1662,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Movie,2015,No Rating,78,comedy,US,6.8,1506
1663,Puerto Ricans in Paris,Movie,2015,R,82,comedy,US,5.3,1824
1664,Reggie Watts: Spatial,Movie,2016,No Rating,61,"comedy, music",US,6.0,503
1665,You Are My Sunday,Movie,2016,No Rating,119,"drama, comedy",IN,7.8,1649
1666,Layla M.,Movie,2016,No Rating,98,"drama, european",NL,6.7,1692
1667,Trailer Park Boys: Out of the Park: Europe,Show,2016,TV-MA,30,"action, crime, drama, comedy",CA,7.0,2285
1668,Asperger's Are Us,Movie,2016,No Rating,83,"documentation, comedy, drama",US,6.6,737
1669,Honeytrap,Movie,2015,No Rating,93,"drama, crime, romance",GB,5.9,758
1670,City of Joy,Movie,2016,No Rating,74,"documentation, crime, drama, thriller, war",CD,7.5,525
1671,ABCD 2,Movie,2015,PG,154,"music, drama",IN,5.4,6258
1672,Iliza Shlesinger: Freezing Hot,Movie,2015,No Rating,71,"comedy, documentation",US,6.8,2572
1673,My Sunshine,Show,2015,TV-PG,45,"drama, romance",CN,6.6,185
1674,Carlos Ballarta: el amor es de putos,Movie,2016,No Rating,67,comedy,MX,7.0,232
1675,Offline: Are You Ready for the Next Level?,Movie,2016,No Rating,91,"action, comedy, european",DE,5.0,775
1676,A Touch of Green,Show,2015,TV-MA,46,"family, drama, war",TW,8.4,314
1677,Olmo and the Seagull,Movie,2015,No Rating,90,"drama, european, romance, family, documentation","FR, PT, SE, DK, BR",7.2,674
1678,7:19,Movie,2016,No Rating,94,"thriller, drama, history",MX,5.9,644
1679,Born in Syria,Movie,2016,No Rating,86,"documentation, european","ES, DK",7.7,279
1680,Te3n,Movie,2016,PG-13,136,"thriller, drama",IN,7.3,12816
1681,Kulipari: An Army of Frogs,Show,2016,No Rating,24,"action, animation, fantasy",US,6.9,254
1682,The Doll,Movie,2016,No Rating,106,"thriller, horror",ID,5.2,738
1683,Brother Jekwu,Movie,2016,No Rating,103,"comedy, crime",NG,,0
1684,Clair Obscur,Movie,2016,No Rating,100,"drama, european",TR,6.5,2374
1685,Pettson and Findus: The Best Christmas Ever,Movie,2016,No Rating,82,"family, animation, comedy, fantasy, european",DE,5.5,353
1686,U Turn,Movie,2016,R,120,"horror, thriller, crime, drama",IN,7.5,3310
1687,28 Faces of the Moon,Show,2016,TV-14,18,drama,KR,6.4,25
1688,I Love You,Movie,2016,No Rating,98,"drama, comedy, romance, european",SE,4.7,983
1689,Ordinary People,Movie,2016,No Rating,107,drama,PH,7.3,498
1690,Poshter Girl,Movie,2016,PG-13,140,comedy,IN,6.6,328
1691,The Creative Indians,Show,2016,TV-MA,28,documentation,US,8.3,45
1692,Shaandaar,Movie,2015,PG-13,144,"romance, drama, comedy",IN,3.6,5612
1693,Kazoops!,Show,2016,No Rating,11,"family, fantasy, animation, comedy","AU, GB",7.5,122
1694,Bottersnikes & Gumbles,Show,2016,TV-Y7,13,"action, animation, comedy, family","AU, US, GB",5.1,47
1695,Hawaizaada,Movie,2015,PG,157,"fantasy, drama",IN,5.6,1910
1696,Fangbone!,Show,2016,TV-PG,22,"animation, comedy, family, fantasy, action",CA,6.2,312
1697,Very Big Shot,Movie,2015,R,107,"thriller, action, crime, drama","LB, QA",7.1,1395
1698,Joe Rogan: Triggered,Movie,2016,No Rating,63,"comedy, documentation",US,7.4,4447
1699,X: Past Is Present,Movie,2015,PG-13,105,"drama, thriller, romance",IN,5.1,699
1700,David Cross: Making America Great Again,Movie,2016,No Rating,74,comedy,US,6.4,1647
1701,100 Meters,Movie,2016,No Rating,108,"drama, comedy, european",ES,7.5,6167
1702,Iliza Shlesinger: Confirmed Kills,Movie,2016,No Rating,77,comedy,US,6.6,2865
1703,Breaking the Bank,Movie,2016,No Rating,106,comedy,GB,4.8,928
1704,Hannibal Buress: Comedy Camisado,Movie,2016,R,67,comedy,US,6.6,1517
1705,"Have You Ever Fallen in Love, Miss Jiang?",Show,2016,TV-14,89,drama,TW,,0
1706,Bangistan,Movie,2015,PG-13,135,"comedy, drama",IN,4.5,1273
1707,Lang Tong,Movie,2015,No Rating,83,thriller,SG,4.8,307
1708,"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",Movie,2015,No Rating,74,comedy,XX,6.5,1036
1709,Kiss of Life,Movie,2015,G,102,"comedy, romance, drama",TR,5.9,1248
1710,Chasing Cameron,Show,2016,TV-PG,28,reality,US,3.8,501
1711,S Storm,Movie,2016,PG-13,90,"action, thriller, crime, drama","CN, HK",5.2,697
1712,Hans Teeuwen: Echte Rancune,Movie,2016,No Rating,103,comedy,NL,,0
1713,Theo Von: No Offense,Movie,2016,No Rating,65,"comedy, documentation",US,5.6,864
1714,If I were an Animal,Show,2016,TV-G,10,documentation,FR,,0
1715,Mike Epps: Don't Take It Personal,Movie,2015,No Rating,60,comedy,US,4.4,274
1716,Husband Factor,Movie,2015,PG-13,108,"comedy, fantasy, romance, drama",TR,6.2,5031
1717,Michael Che Matters,Movie,2016,No Rating,60,comedy,US,7.2,2586
1718,Spark,Show,2016,TV-14,13,drama,KR,7.0,57
1719,Under the Black Moonlight,Show,2016,TV-14,10,"drama, thriller, horror",KR,5.0,56
1720,Aziz Ansari: Live at Madison Square Garden,Movie,2015,No Rating,58,comedy,US,6.6,3247
1721,Hibana: Spark,Show,2016,No Rating,53,drama,JP,7.9,798
1722,Katti Batti,Movie,2015,No Rating,138,"romance, comedy, drama",IN,4.7,3137
1723,Ave Maria,Movie,2015,No Rating,15,comedy,"FR, DE, PS",,0
1724,Patton Oswalt: Talking for Clapping,Movie,2016,No Rating,65,"comedy, documentation",US,6.8,1971
1725,Husband Factor: Resurrection,Movie,2016,PG,108,"comedy, family, romance, drama, fantasy",TR,5.4,297
1726,XV Beyond the Tryline,Movie,2016,No Rating,91,"documentation, sport",GB,6.8,75
1727,Close Your Eyes Before It's Dark,Show,2016,TV-14,84,"drama, crime",TW,7.0,218
1728,Best Lover,Show,2016,TV-14,45,"drama, romance",CN,6.8,74
1729,Luna Petunia,Show,2016,TV-Y,24,"animation, family, fantasy",CA,6.2,58
1730,"Dana Carvey: Straight White Male, 60",Movie,2016,No Rating,64,comedy,US,6.4,1483
1731,A Second Chance,Movie,2015,No Rating,130,"romance, drama, family, sport, documentation",PH,8.6,47
1732,Soul Thieves,Movie,2015,No Rating,88,horror,MX,5.0,275
1733,Umrika,Movie,2015,No Rating,98,"drama, comedy",IN,6.6,1463
1734,Wedding Association 2: Circumcision,Movie,2015,PG-13,107,comedy,TR,6.4,10261
1735,The Miracle,Show,2016,TV-14,18,"drama, comedy, fantasy, music",KR,6.3,210
1736,The Dream Job,Show,2016,TV-14,44,"drama, family",SG,6.1,14
1737,One in a Billion,Movie,2016,No Rating,69,documentation,US,6.7,543
1738,Frank and Cindy,Movie,2015,No Rating,102,"comedy, drama",US,6.1,855
1739,Vanished 46,Show,2016,TV-MA,61,"scifi, action, crime, drama, thriller",TR,8.4,4269
1740,Niyazi Gül Dörtnala,Movie,2015,PG,106,"comedy, drama, action",TR,4.5,3170
1741,Brent Morin: I'm Brent Morin,Movie,2015,No Rating,67,comedy,US,6.5,688
1742,My Mother's Wound,Movie,2016,PG-13,120,"drama, war",TR,7.3,3620
1743,Saawan,Movie,2016,No Rating,90,"drama, thriller",PK,7.4,239
1744,Beauty and the Bestie,Movie,2015,No Rating,119,"comedy, drama, action",PH,4.8,294
1745,The CEO,Movie,2016,PG-13,105,"drama, thriller",NG,5.7,121
1746,Sam Kinison: The Scream Continues,Movie,2016,No Rating,29,documentation,US,6.1,39
1747,Magic Cellphone,Show,2016,TV-PG,13,"drama, comedy",KR,4.1,21
1748,Sila Samayangalil,Movie,2016,No Rating,101,drama,IN,5.5,30
1749,Secret of Success,Show,2015,TV-14,41,drama,MY,,0
1750,Diamond Lover,Show,2015,TV-PG,45,"comedy, drama",CN,6.4,138
1751,Ricardo O'Farrill: Abrazo Genial,Movie,2016,No Rating,92,comedy,MX,5.5,113
1752,Brahman Naman,Movie,2016,No Rating,94,comedy,"GB, IN",5.5,1884
1753,Dedemin Fişi,Movie,2016,PG,100,"comedy, family",TR,5.5,3524
1754,My Stupid Boss,Movie,2016,No Rating,106,"comedy, drama",ID,7.2,1511
1755,Love O2O,Movie,2016,No Rating,105,"romance, drama",CN,6.4,998
1756,Ojukokoro (Greed),Movie,2016,No Rating,110,"comedy, thriller, crime",NG,6.7,62
1757,Aerials,Movie,2016,No Rating,90,"drama, scifi, thriller",AE,1.5,382
1758,Unchained fate,Show,2016,TV-14,40,scifi,MY,,0
1759,Jimmy Carr: Funny Business,Movie,2016,No Rating,62,,GB,,0
1760,Santa Pac's Merry Berry Day,Movie,2016,No Rating,44,"action, animation, comedy","JP, US, CA",,0
1761,Sons of the Caliphate,Show,2015,TV-14,39,drama,NG,7.4,32
1762,Cedric the Entertainer: Live from the Ville,Movie,2016,No Rating,60,comedy,US,6.0,681
1763,The Blind Christ,Movie,2016,No Rating,95,drama,"CL, FR",5.8,273
1764,Black,Movie,2015,No Rating,90,action,,4.4,74
1765,Souk Bazaar,Movie,2015,PG,97,comedy,TR,5.2,1891
1766,Dharam Sankat Mein,Movie,2015,PG-13,129,"comedy, drama",IN,6.3,2237
1767,Saudi Arabia Uncovered,Movie,2016,No Rating,51,documentation,SA,,0
1768,#Rucker50,Movie,2016,No Rating,56,documentation,US,5.2,117
1769,The Tour,Movie,2016,No Rating,93,"comedy, european",CZ,,0
1770,Barcelona: A Love Untold,Movie,2016,No Rating,132,"drama, romance",PH,6.9,749
1771,Project Marathwada,Movie,2016,No Rating,110,drama,IN,6.6,88
1772,Gang of the Caribbean,Movie,2016,No Rating,90,"thriller, european",FR,5.1,294
1773,Budhia Singh: Born to Run,Movie,2016,No Rating,112,"drama, sport",IN,7.6,1479
1774,Crazy Beautiful You,Movie,2015,No Rating,115,"romance, drama, comedy",PH,7.2,828
1775,Kara Bela,Movie,2015,PG-13,100,"comedy, action, drama",TR,6.8,8920
1776,Road To High & Low,Movie,2016,No Rating,95,"action, drama",JP,6.7,177
1777,Fartsa,Show,2015,TV-14,60,"crime, drama",RU,6.7,195
1778,The Breakup Playlist,Movie,2015,No Rating,117,"drama, music, romance",PH,6.5,303
1779,Singles Villa,Show,2015,TV-14,45,"drama, romance",CN,7.7,28
1780,Vince & Kath & James,Movie,2016,No Rating,116,romance,PH,6.9,371
1781,Sommore: The Reign Continues,Movie,2015,R,93,comedy,US,6.9,76
1782,The Last Egg,Movie,2016,No Rating,95,"romance, drama, comedy",VN,4.8,98
1783,Ricardo O'Farrill: abrazo navideño,Movie,2016,No Rating,31,comedy,MX,5.7,67
1784,You're My Boss,Movie,2015,No Rating,116,"comedy, romance",PH,6.3,272
1785,Everyday I Love You,Movie,2015,No Rating,122,"romance, drama",PH,7.1,491
1786,Triumph in the Skies,Movie,2015,No Rating,100,"comedy, drama",HK,4.3,368
1787,The Super Parental Guardians,Movie,2016,No Rating,115,comedy,PH,4.5,204
1788,Gbomo Gbomo Express,Movie,2015,No Rating,97,"drama, crime",NG,5.0,50
1789,Chris D'Elia: Incorrigible,Movie,2015,R,83,"comedy, documentation",US,6.4,1535
1790,Virunga: Gorillas in Peril,Movie,2015,No Rating,28,documentation,US,6.6,32
1791,Thomas & Friends: Full Steam To The Rescue!,Movie,2016,No Rating,93,family,GB,,0
1792,Cristina,Movie,2016,No Rating,39,"drama, documentation",US,,0
1793,Janoskians: Untold and Untrue,Movie,2015,No Rating,88,comedy,US,3.7,160
1794,Dieter Nuhr: Nuhr in Berlin,Movie,2016,No Rating,68,"comedy, european",DE,4.8,67
1795,Santa Banta Pvt Ltd,Movie,2016,No Rating,112,"comedy, crime, drama",IN,2.7,282
1796,Tariqi: My Way,Show,2015,TV-14,42,"drama, music",EG,7.2,143
1797,76,Movie,2016,PG-13,118,"romance, drama",NG,5.6,220
1798,The Governor,Show,2016,TV-14,45,drama,NG,7.4,100
1799,Chhota Bheem in African Safari,Movie,2015,No Rating,62,animation,,6.5,12
1800,Grandmother's Farm Part 2,Movie,2015,No Rating,80,"comedy, horror, thriller",AE,5.3,59
1801,Jandino: Whatever it Takes,Movie,2016,No Rating,94,comedy,"GB, NL",4.5,30
1802,The Unmarried Wife,Movie,2016,No Rating,130,"romance, drama",PH,5.8,188
1803,The Love Affair,Movie,2015,No Rating,125,"romance, drama",PH,6.2,256
1804,Pac’s Scary Halloween,Movie,2016,No Rating,44,"fantasy, horror",US,,0
1805,,Movie,2015,No Rating,11,,,,0
1806,Back to 1989,Show,2016,TV-14,44,"scifi, drama",TW,8.0,106
1807,Snervous Tyler Oakley,Movie,2015,PG-13,82,documentation,US,5.4,473
1808,Meet The in-Laws,Movie,2016,No Rating,75,comedy,NG,6.0,23
1809,Oloibiri,Movie,2015,No Rating,106,"thriller, drama, action","CA, NG",5.1,183
1810,A Chaster Marriage,Movie,2016,PG-13,93,"romance, family, comedy",TR,5.4,874
1811,Popples,Show,2015,No Rating,25,animation,"FR, RU, US",6.0,57
1812,Hajwala: The Missing Engine,Movie,2016,R,96,"drama, thriller, action, crime, sport",AE,2.1,250
1813,The Arbitration,Movie,2016,No Rating,100,"drama, comedy",NG,5.1,121
1814,Just the Way You Are,Movie,2015,No Rating,107,"drama, comedy, romance",PH,6.3,502
1815,My Little Baby,Show,2016,TV-PG,37,"comedy, drama",KR,6.9,103
1816,Love Storm,Show,2016,TV-14,87,family,TW,5.5,325
1817,Bibik Bibikku,Show,2016,TV-PG,40,"drama, comedy",MY,,0
1818,The Third Party,Movie,2016,No Rating,118,"comedy, romance",PH,6.1,267
1819,Lakeeran,Movie,2016,No Rating,113,drama,IN,6.2,33
1820,Love Is a Story,Movie,2015,No Rating,107,"comedy, european, romance",RO,6.0,365
1821,A Man Returned,Movie,2016,No Rating,30,documentation,,,0
1822,Time Out,Movie,2015,No Rating,98,"drama, animation, family, music",IN,6.0,399
1823,Jada,Movie,2016,PG-13,16,"drama, sport",US,5.3,157
1824,Ozark,Show,2017,TV-MA,60,"crime, thriller, drama",US,8.5,278223
1825,Derry Girls,Show,2018,TV-MA,25,comedy,GB,8.4,28718
1826,The Sinner,Show,2017,TV-MA,45,"crime, thriller, drama",US,7.9,117055
1827,Blade Runner 2049,Movie,2017,R,164,"scifi, thriller, action, drama","CA, HU, MX, ES, GB, US",8.0,539864
1828,Dark,Show,2017,TV-MA,56,"scifi, crime, drama, thriller",DE,8.7,354443
1829,Sorry to Bother You,Movie,2018,R,111,"fantasy, scifi, drama, comedy",US,6.9,75653
1830,Dunkirk,Movie,2017,PG-13,107,"drama, history, thriller, war, action, european","US, FR, NL, GB",7.8,619645
1831,Wind River,Movie,2017,R,106,"thriller, crime, drama, western","FR, GB, US",7.7,240408
1832,Molly's Game,Movie,2017,R,140,"drama, crime, sport","CA, US, CN",7.4,165817
1833,Riverdale,Show,2017,TV-14,42,"thriller, drama, romance, crime",US,6.7,139154
1834,Legacies,Show,2018,TV-14,42,"scifi, drama, fantasy, horror",US,7.3,28877
1835,Mindhunter,Show,2017,TV-MA,53,"crime, drama, thriller",US,8.6,261429
1836,Den of Thieves,Movie,2018,R,140,"thriller, action, crime, drama",US,7.0,107701
1837,All American,Show,2018,TV-14,42,"drama, sport",US,7.6,9704
1838,Phantom Thread,Movie,2017,R,130,"romance, drama","US, GB",7.4,128600
1839,Manifest,Show,2018,TV-14,42,"scifi, drama, thriller",US,7.1,50145
1840,Elite,Show,2018,TV-MA,48,"crime, drama, thriller",ES,7.4,73062
1841,Cobra Kai,Show,2018,TV-14,31,"action, comedy, drama, sport",US,8.6,163858
1842,You,Show,2018,TV-MA,47,"thriller, crime, drama, romance",US,7.7,225949
1843,Lost in Space,Show,2018,TV-PG,49,"scifi, action, drama, thriller, family",US,7.3,96868
1844,Money Heist,Show,2017,TV-MA,50,"crime, drama, thriller, action, european",ES,8.3,450797
1845,Lady Bird,Movie,2017,R,94,"drama, comedy",US,7.4,277165
1846,Good Girls,Show,2018,TV-14,42,"comedy, drama, crime",US,7.7,49867
1847,The Ritual,Movie,2017,R,94,"horror, thriller","GB, CA",6.3,92788
1848,Bodyguard,Show,2018,TV-MA,60,"war, crime, drama, thriller, european",GB,8.1,114446
1849,Godless,Show,2017,TV-MA,65,"western, documentation, action, drama, crime",US,7.6,27
1850,Altered Carbon,Show,2018,TV-MA,52,"scifi, thriller, action, drama",US,7.9,162018
1851,Maniac,Show,2018,TV-MA,39,"drama, scifi, comedy",US,7.7,74877
1852,Dirty John,Show,2018,TV-MA,44,"crime, drama",US,7.3,20817
1853,Darkest Hour,Movie,2017,PG-13,125,"drama, war, history, thriller, family",GB,7.4,193208
1854,Babylon Berlin,Show,2017,TV-MA,49,"crime, thriller, drama, european",DE,8.4,23256
1855,Charmed,Show,2018,TV-14,42,"scifi, drama, fantasy",US,4.5,16091
1856,The Haunting of Hill House,Show,2018,TV-MA,58,"drama, scifi, horror, thriller",US,8.6,226817
1857,HAPPY!,Show,2017,TV-MA,43,"scifi, comedy, thriller, action, crime, fantasy",US,8.1,37747
1858,Workin' Moms,Show,2017,TV-MA,22,"comedy, drama",CA,7.8,14892
1859,The Nightingale,Movie,2018,R,136,"thriller, drama, horror",AU,7.3,28196
1860,Wild Wild Country,Show,2018,TV-MA,67,"crime, documentation",US,8.1,29298
1861,Somebody Feed Phil,Show,2018,TV-14,52,documentation,US,8.2,4420
1862,Big Mouth,Show,2017,TV-MA,27,"animation, comedy, romance",US,7.9,74660
1863,How It Ends,Movie,2018,No Rating,113,"thriller, action, drama, scifi","CA, US",5.0,51513
1864,Dynasty,Show,2017,TV-14,42,drama,US,7.2,21136
1865,The Disaster Artist,Movie,2017,R,104,"comedy, drama",US,7.3,149604
1866,Imposters,Show,2017,TV-14,43,"drama, comedy, crime",US,7.8,13238
1867,Anne with an E,Show,2017,TV-G,46,"drama, family",CA,8.7,51001
1868,Ghostland,Movie,2018,R,91,"horror, thriller, drama, european","FR, CA",6.4,30444
1869,Perfect Bid: The Contestant Who Knew Too Much,Movie,2017,No Rating,72,"documentation, history",CA,6.6,2176
1870,Manhunt,Show,2017,TV-14,43,"documentation, crime, thriller, drama",US,8.1,57459
1871,The Ballad of Buster Scruggs,Movie,2018,R,132,"western, comedy, drama, romance",US,7.3,141528
1872,Okja,Movie,2017,PG-13,122,"drama, scifi, action","KR, US",7.3,116305
1873,Santa Clarita Diet,Show,2017,TV-MA,29,"comedy, horror",US,7.9,64467
1874,The Bad Batch,Movie,2017,R,119,"drama, action, horror, romance, scifi",US,5.2,30785
1875,The Bureau of Magical Things,Show,2018,TV-G,23,"scifi, family, fantasy",AU,6.7,1914
1876,One Day at a Time,Show,2017,TV-PG,29,"comedy, drama",US,8.2,15669
1877,The End of the F***ing World,Show,2017,TV-MA,21,"crime, comedy, drama, romance, thriller",GB,8.1,177868
1878,Safe,Show,2018,TV-MA,45,"drama, thriller, crime, european",GB,7.2,41822
1879,GLOW,Show,2017,TV-MA,34,"drama, comedy, sport, reality",US,8.0,44751
1880,Trolls: The Beat Goes On!,Show,2018,TV-G,21,"comedy, romance, animation, family, fantasy",US,5.8,798
1881,Collateral,Show,2018,TV-MA,57,"drama, thriller, crime",GB,6.7,17304
1882,Shot Caller,Movie,2017,R,120,"thriller, crime, drama",US,7.3,83961
1883,Castlevania,Show,2017,TV-MA,26,"scifi, drama, fantasy, horror, animation, action",US,8.3,61114
1884,The Shack,Movie,2017,PG-13,132,"fantasy, drama",US,6.2,35406
1885,The Kominsky Method,Show,2018,TV-MA,26,"drama, comedy",US,8.2,38232
1886,Knightfall,Show,2017,TV-14,44,"action, drama, history",US,6.7,19809
1887,Atypical,Show,2017,TV-14,31,"comedy, drama",US,8.3,81643
1888,Alias Grace,Show,2017,TV-MA,44,"drama, thriller, crime",CA,7.7,31577
1889,Roma,Movie,2018,R,135,"drama, european","MX, US",7.7,153508
1890,Deadwind,Show,2018,TV-MA,46,"drama, thriller, crime",FI,7.3,8762
1891,Crooked House,Movie,2017,PG-13,115,"drama, crime",GB,6.3,23327
1892,A Series of Unfortunate Events,Show,2017,TV-PG,47,"action, family, comedy, drama",US,7.8,59239
1893,The Beguiled,Movie,2017,R,93,"drama, documentation, war, thriller",US,6.8,21
1894,American Vandal,Show,2017,TV-MA,33,"comedy, drama, crime",US,8.1,29972
1895,Watership Down,Show,2018,TV-PG,50,"animation, action, drama, family, fantasy",GB,7.2,6043
1896,Mystery Science Theater 3000,Show,2017,TV-14,86,"scifi, comedy, thriller, drama, horror",US,8.2,3605
1897,Chilling Adventures of Sabrina,Show,2018,TV-14,57,"scifi, thriller, drama, horror, fantasy",US,7.4,90327
1898,What Happened to Monday,Movie,2017,R,123,"thriller, drama, action, crime, fantasy, scifi","BE, FR, GB",6.8,120311
1899,The Foreigner,Movie,2017,R,113,"thriller, action, crime, drama, european","IN, CN, US, GB",7.0,112487
1900,Apostle,Movie,2018,R,130,"thriller, horror, drama, fantasy","US, GB",6.3,51038
1901,Icarus,Movie,2017,No Rating,121,"documentation, thriller, sport",US,7.9,48672
1902,The Package,Movie,2018,R,94,"comedy, drama, thriller",US,5.5,17226
1903,Violet Evergarden,Show,2018,TV-14,25,"drama, animation, scifi, fantasy, romance",JP,8.4,19940
1904,Narcos: Mexico,Show,2018,TV-MA,56,"drama, crime",US,8.4,80902
1905,Mary Magdalene,Movie,2018,R,120,drama,"GB, US, AU",5.9,10234
1906,Disenchantment,Show,2018,TV-14,29,"scifi, comedy, fantasy, animation, action",US,7.2,58639
1907,Gerald's Game,Movie,2017,No Rating,103,"horror, thriller, drama",US,6.5,104894
1908,Level 16,Movie,2018,No Rating,102,"thriller, drama, scifi, european",CA,6.0,11118
1909,BAKI,Show,2018,TV-MA,24,"action, animation, drama, sport",JP,6.7,5706
1910,The Invisible Guest,Movie,2017,R,107,"thriller, crime, drama, european",ES,8.0,170351
1911,The Cloverfield Paradox,Movie,2018,PG-13,102,"thriller, horror, scifi, drama, action",US,5.5,102759
